spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
25 ; 2569.6 ; 1.7 ; 2509 ; 1.6318698459271908 ; 1.4800000000000002 ; 60.77856585365853 ; 0.8954439024390244 ; 244.64489416944215 ; 0 ; 0 ; 0
26 ; 2641.8 ; 1.2 ; 2574.5 ; 1.6312766223280089 ; 1.52 ; 62.46797073170732 ; 0.9527512195121952 ; 244.80620116939863 ; 0 ; 0 ; 0
27 ; 2782.2 ; 2.6 ; 2713.4 ; 1.611916260732512 ; 1.75 ; 65.83751219512195 ; 1.1567219512195122 ; 244.77881011101059 ; 0 ; 0 ; 0
28 ; 2839.6 ; 3.1 ; 2770.8 ; 1.6202212596644159 ; 1.8 ; 67.35313170731708 ; 1.2166341463414632 ; 245.36977410163294 ; 0 ; 0 ; 0
29 ; 2976.3 ; 2.5 ; 2901.1 ; 1.6233189567962398 ; 2.2 ; 71.1704975609756 ; 1.5689951219512195 ; 247.44742526004325 ; 0 ; 0 ; 0
30 ; 3069.6 ; 4.1 ; 2993.7 ; 1.6400236609653323 ; 2.35 ; 73.39391219512194 ; 1.731970731707317 ; 247.240998308192 ; 0 ; 0 ; 0
31 ; 3170.2 ; 6.1 ; 3089.3 ; 1.6484822609695187 ; 2.8000000000000003 ; 75.73278048780489 ; 2.117921951219512 ; 247.17687338228376 ; 0 ; 0 ; 0
32 ; 3291.9 ; 8.7 ; 3208.5 ; 1.6467441115317247 ; 3.56 ; 79.92794146341463 ; 2.858868292682927 ; 251.25731909905963 ; 0 ; 0 ; 0
33 ; 3366 ; 9.7 ; 3281.9 ; 1.6516481244949588 ; 3.5499999999999994 ; 81.47053658536585 ; 2.894819512195122 ; 250.52996156684316 ; 0 ; 0 ; 0
34 ; 3478.9 ; 13.2 ; 3389.4 ; 1.6740486896219315 ; 4.299999999999999 ; 84.68293658536585 ; 3.6487902439024387 ; 251.7759979644399 ; 0 ; 0 ; 0
35 ; 3575.6 ; 14.4 ; 3486.1 ; 1.7330862701300582 ; 6.27 ; 89.38798048780487 ; 5.630995121951219 ; 258.67119244320895 ; 0 ; 0 ; 0
36 ; 3661.7 ; 21.1 ; 3570.3 ; 1.7704096019699924 ; 7.220000000000001 ; 91.76200975609757 ; 6.683073170731708 ; 259.0928214589511 ; 0 ; 0 ; 0
37 ; 3739 ; 31.2 ; 3640.5 ; 1.8523019251727804 ; 9.489999999999998 ; 95.99439024390242 ; 9.14249756097561 ; 265.55342242414014 ; 0 ; 0 ; 0
38 ; 3864.3 ; 50.7 ; 3758.7 ; 1.9637633669811758 ; 11.84 ; 102.05072195121951 ; 12.114068292682926 ; 273.45075889634893 ; 0 ; 0 ; 0
39 ; 3918.3 ; 65.4 ; 3815.2 ; 2.0082540206517927 ; 12.91 ; 104.17810731707316 ; 13.468702439024392 ; 275.06695265081567 ; 0 ; 0 ; 0
40 ; 4006.3 ; 83.1 ; 3895.5 ; 2.0251807268492614 ; 13.55 ; 106.66647804878048 ; 14.47229268292683 ; 275.5293341054457 ; 0 ; 0 ; 0
41 ; 4082.3 ; 107.4 ; 3973.1 ; 2.1028815003234955 ; 14.63 ; 109.76843902439025 ; 16.062526829268297 ; 278.15120994506975 ; 0 ; 0 ; 0
42 ; 4152.4 ; 156.4 ; 4037.3 ; 2.1579602275218095 ; 15.229999999999999 ; 112.55890731707316 ; 17.145834146341464 ; 280.48226773777066 ; 0 ; 0 ; 0
43 ; 4215 ; 179 ; 4098.7 ; 2.1870166576598296 ; 15.620000000000001 ; 114.17218536585365 ; 17.84911219512195 ; 280.2335155529198 ; 0 ; 0 ; 0
44 ; 4305.3 ; 232.6 ; 4184.1 ; 2.240460653778237 ; 15.959999999999999 ; 116.68541463414635 ; 18.63570731707317 ; 280.42861794835 ; 0 ; 0 ; 0
45 ; 4338.9 ; 260 ; 4216.3 ; 2.2368785518644008 ; 16.029999999999998 ; 117.75438048780488 ; 18.874097560975613 ; 280.79418166832664 ; 0 ; 0 ; 0
46 ; 4411.8 ; 297.8 ; 4289.6 ; 2.2834785239301896 ; 16.470000000000002 ; 120.00412682926829 ; 19.75294634146341 ; 281.46415989057994 ; 0 ; 0 ; 0
47 ; 4461.9 ; 359.3 ; 4341 ; 2.288483211577739 ; 16.529999999999998 ; 121.2225756097561 ; 20.043131707317073 ; 281.12026894128206 ; 0 ; 0 ; 0
48 ; 4497.6 ; 409.7 ; 4374.7 ; 2.3282332685746416 ; 16.89 ; 122.40713170731706 ; 20.67992195121951 ; 281.439811103885 ; 0 ; 0 ; 0
49 ; 4541.1 ; 478.2 ; 4415.1 ; 2.329332876390314 ; 17.07 ; 123.59376585365854 ; 21.110760975609757 ; 281.42613669206213 ; 0 ; 0 ; 0
50 ; 4584.9 ; 543.5 ; 4454.5 ; 2.3769204894063356 ; 17.37 ; 125.15662439024388 ; 21.732351219512196 ; 282.4759566690251 ; 0 ; 0 ; 0
51 ; 4629.1 ; 597 ; 4498.4 ; 2.380098259443304 ; 17.470000000000002 ; 126.21250731707319 ; 22.060634146341467 ; 281.9939004227 ; 0 ; 0 ; 0
52 ; 4654.7 ; 648.7 ; 4525.1 ; 2.370399626175973 ; 17.520000000000003 ; 127.05544390243904 ; 22.265160975609756 ; 282.1510192522211 ; 0 ; 0 ; 0
53 ; 4699.7 ; 717.1 ; 4571 ; 2.3811078566225587 ; 17.740000000000002 ; 128.17859512195122 ; 22.730507317073172 ; 282.04292668828464 ; 0 ; 0 ; 0
54 ; 4730.2 ; 794.7 ; 4599.5 ; 2.3788701104436027 ; 17.89 ; 129.21760975609757 ; 23.091814634146342 ; 282.58266178686205 ; 0 ; 0 ; 0
55 ; 4759 ; 875 ; 4631.3 ; 2.370491414403614 ; 18.04 ; 130.34355121951222 ; 23.50038048780488 ; 283.1578021455065 ; 0 ; 0 ; 0
56 ; 4777.4 ; 961.1 ; 4644.3 ; 2.374462092146876 ; 18.229999999999997 ; 131.14368780487806 ; 23.94511219512195 ; 283.95084895823356 ; 0 ; 0 ; 0
57 ; 4798.8 ; 1053.1 ; 4664.1 ; 2.37082089537897 ; 18.409999999999997 ; 131.50426341463415 ; 24.21940487804878 ; 283.4278178265316 ; 0 ; 0 ; 0
58 ; 4806.1 ; 1134.7 ; 4670.5 ; 2.3444574846509845 ; 18.500000000000004 ; 132.58643902439024 ; 24.534887804878046 ; 285.3463845511852 ; 0 ; 0 ; 0
59 ; 4822.7 ; 1221.7 ; 4691.5 ; 2.338989817143984 ; 18.589999999999996 ; 132.65309268292683 ; 24.645697560975606 ; 284.2663700292701 ; 0 ; 0 ; 0
60 ; 4825.3 ; 1344 ; 4690.6 ; 2.3783481298051856 ; 18.84 ; 133.15645853658535 ; 25.103629268292686 ; 285.36521325191507 ; 0 ; 0 ; 0
61 ; 4841.7 ; 1399.8 ; 4706.4 ; 2.3304302939528 ; 18.810000000000002 ; 133.53382439024386 ; 25.101112195121953 ; 285.27269659483795 ; 0 ; 0 ; 0
