szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 5 ; 15 ; 188 ; 0 ; 137 ; 13.367502726281351 ; 31.9 ; 45.8488 ; 14.6192 ; 318.7664233576642 ; 15 ; 45 ; 30
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 199 ; 0 ; 130 ; 13.710200190657769 ; 38.6 ; 52.3176 ; 20.2144 ; 347.2153846153846 ; 15 ; 45 ; 45
constant ; 2 ; 15 ; 202 ; 0 ; 137 ; 13.245188284518829 ; 36.6 ; 51.184 ; 18.7224 ; 351.5985401459854 ; 15 ; 45 ; 45
constant ; 3 ; 15 ; 184 ; 0 ; 126 ; 19.310756972111555 ; 25.9 ; 40.3792 ; 10.4624 ; 304.94444444444446 ; 15 ; 45 ; 45
constant ; 4 ; 15 ; 177 ; 0 ; 122 ; 19.002173913043478 ; 28.1 ; 39.028 ; 10.9752 ; 290.8114754098361 ; 15 ; 45 ; 45
constant ; 5 ; 15 ; 191 ; 0 ; 142 ; 16.824267782426777 ; 21.8 ; 38.2096 ; 8.3384 ; 275.88028169014086 ; 15 ; 45 ; 45
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 170 ; 0 ; 119 ; 17.965413533834585 ; 29.9 ; 40.2696 ; 12.0328 ; 329.109243697479 ; 15 ; 45 ; 60
constant ; 2 ; 15 ; 206 ; 0 ; 152 ; 11.839408866995074 ; 29.6 ; 46.9672 ; 13.9056 ; 295.125 ; 15 ; 45 ; 60
constant ; 3 ; 15 ; 197 ; 0 ; 135 ; 15.945330296127562 ; 32.4 ; 49.9968 ; 16.22 ; 343.35555555555555 ; 15 ; 45 ; 60
constant ; 4 ; 15 ; 171 ; 0 ; 123 ; 16.09726962457338 ; 26.7 ; 38.3192 ; 10.2312 ; 308.6178861788618 ; 15 ; 45 ; 60
constant ; 5 ; 15 ; 178 ; 0 ; 124 ; 15.119383825417202 ; 32.3 ; 40.5088 ; 13.0952 ; 303.4758064516129 ; 15 ; 45 ; 60
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 171 ; 0 ; 122 ; 17.218556701030927 ; 23.7 ; 37.72 ; 8.932 ; 306.38524590163934 ; 15 ; 60 ; 15
constant ; 2 ; 15 ; 172 ; 0 ; 125 ; 13.508250825082508 ; 33 ; 44.2144 ; 14.572 ; 342.152 ; 15 ; 60 ; 15
constant ; 3 ; 15 ; 169 ; 0 ; 129 ; 16.435574229691877 ; 30.3 ; 40.996 ; 12.404 ; 324.2248062015504 ; 15 ; 60 ; 15
constant ; 4 ; 15 ; 187 ; 0 ; 131 ; 14.306569343065693 ; 36.4 ; 46.4544 ; 16.8984 ; 332.3206106870229 ; 15 ; 60 ; 15
constant ; 5 ; 15 ; 203 ; 1 ; 145 ; 15.259176863181313 ; 32.6 ; 49.5496 ; 16.1688 ; 329.6137931034483 ; 15 ; 60 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 183 ; 0 ; 126 ; 13.247488584474885 ; 36.3 ; 47.2744 ; 17.1496 ; 342.54761904761904 ; 15 ; 60 ; 30
constant ; 2 ; 15 ; 170 ; 0 ; 120 ; 16.24966078697422 ; 30 ; 40.8336 ; 12.2584 ; 342.30833333333334 ; 15 ; 60 ; 30
constant ; 3 ; 15 ; 172 ; 0 ; 122 ; 15.88647342995169 ; 30.6 ; 40.0016 ; 12.2432 ; 342.5409836065574 ; 15 ; 60 ; 30
constant ; 4 ; 15 ; 186 ; 1 ; 120 ; 16.93833780160858 ; 37.7 ; 45.964 ; 17.3472 ; 327.39166666666665 ; 15 ; 60 ; 30
constant ; 5 ; 15 ; 187 ; 0 ; 130 ; 13.65976597659766 ; 36 ; 48.9304 ; 17.6272 ; 352.6384615384615 ; 15 ; 60 ; 30
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 164 ; 0 ; 117 ; 18.26909722222222 ; 29.6 ; 39.6744 ; 11.7344 ; 321.1709401709402 ; 15 ; 60 ; 45
constant ; 2 ; 15 ; 182 ; 0 ; 117 ; 15.84804469273743 ; 38.5 ; 48.396 ; 18.6328 ; 353.63247863247864 ; 15 ; 60 ; 45
constant ; 3 ; 15 ; 185 ; 0 ; 126 ; 14.231754161331626 ; 28.5 ; 39.888 ; 11.3784 ; 314.92857142857144 ; 15 ; 60 ; 45
constant ; 4 ; 15 ; 203 ; 0 ; 132 ; 13.521239954075774 ; 34.9 ; 47.356 ; 16.5248 ; 307.1363636363636 ; 15 ; 60 ; 45
constant ; 5 ; 15 ; 203 ; 0 ; 134 ; 15.981504315659679 ; 31.9 ; 49.512 ; 15.7816 ; 342.1940298507463 ; 15 ; 60 ; 45
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 180 ; 0 ; 113 ; 15.262833675564682 ; 40.7 ; 47.9136 ; 19.488 ; 365.60176991150445 ; 15 ; 60 ; 60
constant ; 2 ; 15 ; 202 ; 1 ; 125 ; 17.654080389768573 ; 41.2 ; 48.7256 ; 20.0832 ; 331.912 ; 15 ; 60 ; 60
constant ; 3 ; 15 ; 182 ; 0 ; 133 ; 14.647233201581027 ; 33.8 ; 44.4232 ; 15.0344 ; 335.70676691729324 ; 15 ; 60 ; 60
constant ; 4 ; 15 ; 173 ; 0 ; 113 ; 17.513432835820897 ; 35 ; 43.5248 ; 15.224 ; 334.69026548672565 ; 15 ; 60 ; 60
constant ; 5 ; 15 ; 191 ; 0 ; 127 ; 18.357971014492755 ; 33.1 ; 44.5032 ; 14.7464 ; 323.12598425196853 ; 15 ; 60 ; 60
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 183 ; 0 ; 136 ; 9.213197969543147 ; 11.1 ; 33.1952 ; 3.6944 ; 254.94117647058823 ; 30 ; 15 ; 15
constant ; 2 ; 15 ; 203 ; 0 ; 153 ; 9.366609294320138 ; 14.9 ; 39.0792 ; 5.8328 ; 260.18954248366015 ; 30 ; 15 ; 15
constant ; 3 ; 15 ; 209 ; 0 ; 158 ; 8.55327868852459 ; 15.5 ; 39.1272 ; 6.0688 ; 260.126582278481 ; 30 ; 15 ; 15
constant ; 4 ; 15 ; 158 ; 0 ; 122 ; 9.081018518518519 ; 11.7 ; 31.344 ; 3.6648 ; 265.8606557377049 ; 30 ; 15 ; 15
constant ; 5 ; 15 ; 167 ; 0 ; 119 ; 9.354312354312354 ; 16.3 ; 34.1216 ; 5.5448 ; 266.4033613445378 ; 30 ; 15 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 179 ; 0 ; 144 ; 9.893292682926829 ; 16.8 ; 35.2944 ; 5.9184 ; 267.6458333333333 ; 30 ; 15 ; 30
constant ; 2 ; 15 ; 177 ; 0 ; 133 ; 10.983402489626556 ; 15.8 ; 35.9376 ; 5.6768 ; 269.1578947368421 ; 30 ; 15 ; 30
constant ; 3 ; 15 ; 192 ; 0 ; 151 ; 10.720970537261698 ; 16.7 ; 37.2304 ; 6.2096 ; 252.11920529801324 ; 30 ; 15 ; 30
constant ; 4 ; 15 ; 190 ; 0 ; 141 ; 10.986666666666666 ; 19.3 ; 41.9752 ; 8.116 ; 302.7304964539007 ; 30 ; 15 ; 30
constant ; 5 ; 15 ; 194 ; 0 ; 155 ; 10.27620632279534 ; 15.7 ; 37.6976 ; 5.9192 ; 261.7225806451613 ; 30 ; 15 ; 30
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 201 ; 0 ; 155 ; 11.784280936454849 ; 18.7 ; 39.9296 ; 7.4832 ; 263.86451612903227 ; 30 ; 15 ; 45
constant ; 2 ; 15 ; 177 ; 0 ; 135 ; 11.39453125 ; 18.1 ; 35.544 ; 6.444 ; 259.52592592592595 ; 30 ; 15 ; 45
constant ; 3 ; 15 ; 174 ; 0 ; 128 ; 13.660531697341513 ; 19.7 ; 37.2808 ; 7.3464 ; 282.2265625 ; 30 ; 15 ; 45
constant ; 4 ; 15 ; 187 ; 0 ; 141 ; 10.82490272373541 ; 23.5 ; 40.3656 ; 9.4696 ; 279.8014184397163 ; 30 ; 15 ; 45
constant ; 5 ; 15 ; 198 ; 0 ; 143 ; 9.281120331950207 ; 24.2 ; 42.1472 ; 10.2064 ; 282.64335664335664 ; 30 ; 15 ; 45
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 179 ; 0 ; 143 ; 9.55585464333782 ; 19.8 ; 35.7184 ; 7.0608 ; 263.0769230769231 ; 30 ; 15 ; 60
constant ; 2 ; 15 ; 202 ; 0 ; 137 ; 10.692923898531376 ; 23 ; 40.9064 ; 9.4128 ; 275.1970802919708 ; 30 ; 15 ; 60
constant ; 3 ; 15 ; 202 ; 0 ; 145 ; 11.982142857142858 ; 23.1 ; 43.0496 ; 9.9312 ; 295.4344827586207 ; 30 ; 15 ; 60
constant ; 4 ; 15 ; 218 ; 0 ; 171 ; 10.111200644641418 ; 23.5 ; 48.836 ; 11.4992 ; 304.43859649122805 ; 30 ; 15 ; 60
constant ; 5 ; 15 ; 182 ; 0 ; 141 ; 12.524064171122994 ; 20 ; 35.9672 ; 7.1784 ; 258.1276595744681 ; 30 ; 15 ; 60
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 194 ; 0 ; 150 ; 9.461361897475134 ; 26.3 ; 44.6472 ; 11.7256 ; 312.79333333333335 ; 30 ; 30 ; 15
constant ; 2 ; 15 ; 209 ; 0 ; 152 ; 9.919298245614035 ; 25.8 ; 47.0728 ; 12.156 ; 306.0328947368421 ; 30 ; 30 ; 15
constant ; 3 ; 15 ; 190 ; 0 ; 128 ; 11.476798143851509 ; 25.9 ; 43.504 ; 11.2808 ; 320.640625 ; 30 ; 30 ; 15
constant ; 4 ; 15 ; 205 ; 0 ; 165 ; 9.555045871559633 ; 15.9 ; 40.9 ; 6.4984 ; 264.6848484848485 ; 30 ; 30 ; 15
constant ; 5 ; 15 ; 189 ; 0 ; 149 ; 9.563179916317992 ; 24.8 ; 44.3488 ; 11.02 ; 313.0268456375839 ; 30 ; 30 ; 15
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 183 ; 0 ; 135 ; 13.36861313868613 ; 20.8 ; 35.9112 ; 7.452 ; 273.8740740740741 ; 30 ; 30 ; 30
constant ; 2 ; 15 ; 174 ; 0 ; 132 ; 10.881977671451356 ; 19 ; 36.2024 ; 6.868 ; 280.6969696969697 ; 30 ; 30 ; 30
constant ; 3 ; 15 ; 177 ; 0 ; 134 ; 11.793459552495698 ; 20.5 ; 35.9192 ; 7.3752 ; 268.910447761194 ; 30 ; 30 ; 30
constant ; 4 ; 15 ; 199 ; 0 ; 144 ; 10.665521191294387 ; 21.4 ; 43.7712 ; 9.368 ; 307.72222222222223 ; 30 ; 30 ; 30
constant ; 5 ; 15 ; 200 ; 0 ; 152 ; 11.108695652173912 ; 28.6 ; 46.6664 ; 13.364 ; 308.20394736842104 ; 30 ; 30 ; 30
szenario ; test-nummer ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 1 ; 15 ; 225 ; 0 ; 161 ; 12.26771653543307 ; 28.4 ; 50.3632 ; 14.2912 ; 302.01863354037266 ; 30 ; 30 ; 45
constant ; 2 ; 15 ; 187 ; 0 ; 138 ; 12.98509485094851 ; 23.4 ; 42.8056 ; 10.0376 ; 303.45652173913044 ; 30 ; 30 ; 45
