szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 15 ; 187.2 ; 0 ; 131 ; 16.58601957741167 ; 33 ; 45.422720000000005 ; 15.166720000000002 ; 339.4808350112279 ; 60 ; 60 ; 30
constant ; 15 ; 186.2 ; 0.4 ; 124.6 ; 16.847821577954026 ; 36.34 ; 47.00352 ; 17.1632 ; 339.74124065641047 ; 60 ; 60 ; 45
constant ; 15 ; 185.6 ; 0.2 ; 122.2 ; 17.685776570836765 ; 38.32000000000001 ; 46.64512 ; 17.89504 ; 344.26380401676226 ; 60 ; 60 ; 60
szenario ; spawn-propability ; carsspawned ; carsnotspawned ; deadcars ; av-cog-time ; %av-cars-in-cog ; av-cars ; av-cars-in-cog ; av-life-time ; jtt1 ; jtt2 ; jtt3
constant ; 30 ; 350 ; 25.2 ; 236.4 ; 7.293173774805449 ; 40.04 ; 85.97088 ; 34.4784 ; 304.39529685269406 ; 15 ; 15 ; 15
constant ; 30 ; 350.6 ; 31.8 ; 238.6 ; 8.22781857644906 ; 41.12 ; 86.84864000000002 ; 35.75344 ; 313.92983156369695 ; 15 ; 15 ; 30
constant ; 30 ; 334.4 ; 35.4 ; 221.6 ; 8.632127074198142 ; 42.08 ; 83.11152 ; 34.99568000000001 ; 312.9084961539828 ; 15 ; 15 ; 45
constant ; 30 ; 335.2 ; 30.8 ; 230.8 ; 9.200464417881602 ; 41.959999999999994 ; 83.44896 ; 35.0472 ; 318.3062908173415 ; 15 ; 15 ; 60
constant ; 30 ; 337.4 ; 44.2 ; 224 ; 7.895898397250282 ; 43.3 ; 88.12464 ; 38.19024 ; 332.22418154573603 ; 15 ; 30 ; 15
constant ; 30 ; 326.2 ; 40.6 ; 219.8 ; 9.307005795600915 ; 41.839999999999996 ; 84.3552 ; 35.39296 ; 338.29960018685836 ; 15 ; 30 ; 30
constant ; 30 ; 322 ; 49.2 ; 209 ; 9.90309504356036 ; 45.739999999999995 ; 88.46960000000001 ; 40.46592 ; 350.763853234717 ; 15 ; 30 ; 45
constant ; 30 ; 322.4 ; 54.4 ; 210.8 ; 9.802661365835988 ; 46.08 ; 87.02752000000001 ; 40.11328 ; 341.58523626116096 ; 15 ; 30 ; 60
constant ; 30 ; 315 ; 52 ; 205.2 ; 8.917299619111361 ; 48.08 ; 88.69616 ; 42.64656 ; 354.5158291262107 ; 15 ; 45 ; 15
constant ; 30 ; 309 ; 59.6 ; 198 ; 9.957588671988962 ; 47.519999999999996 ; 84.80784000000001 ; 40.360640000000004 ; 350.96908005799094 ; 15 ; 45 ; 30
constant ; 30 ; 313.2 ; 50.8 ; 202.6 ; 10.164266941616871 ; 49 ; 89.35584 ; 43.783519999999996 ; 364.1286186569693 ; 15 ; 45 ; 45
constant ; 30 ; 311.8 ; 58.2 ; 203.6 ; 10.375079321099232 ; 48.220000000000006 ; 88.14287999999999 ; 42.50592 ; 363.8507846922268 ; 15 ; 45 ; 60
constant ; 30 ; 307.4 ; 60.8 ; 196.6 ; 9.040140558029705 ; 49.26 ; 89.16479999999999 ; 43.9072 ; 366.85422400267447 ; 15 ; 60 ; 15
constant ; 30 ; 304.8 ; 70.8 ; 193.8 ; 10.18207686436103 ; 49.78 ; 88.80384000000001 ; 44.227199999999996 ; 378.2758074485853 ; 15 ; 60 ; 30
constant ; 30 ; 300 ; 70 ; 193 ; 11.090706028276347 ; 48.96 ; 88.80064 ; 43.50336 ; 381.29837313111193 ; 15 ; 60 ; 45
constant ; 30 ; 289.6 ; 81 ; 182.2 ; 11.47333700217867 ; 51.36 ; 88.81728 ; 45.63312 ; 390.0813300863716 ; 15 ; 60 ; 60
constant ; 30 ; 341.2 ; 35.2 ; 229.8 ; 7.165562245904707 ; 44.379999999999995 ; 88.41088 ; 39.25952 ; 322.8226344116125 ; 30 ; 15 ; 15
constant ; 30 ; 332.6 ; 30.2 ; 220.2 ; 8.54261017064115 ; 42.56 ; 84.13904 ; 35.84864 ; 319.8247255637357 ; 30 ; 15 ; 30
constant ; 30 ; 331.6 ; 44.8 ; 221.2 ; 8.95760620838255 ; 44 ; 86.07168 ; 37.903999999999996 ; 324.4926966070528 ; 30 ; 15 ; 45
constant ; 30 ; 325.4 ; 51.2 ; 217.6 ; 9.275074738329177 ; 46.52 ; 86.69376 ; 40.352320000000006 ; 331.2690517678501 ; 30 ; 15 ; 60
constant ; 30 ; 321.4 ; 55.2 ; 209.8 ; 8.267955867710914 ; 46.779999999999994 ; 89.77488 ; 42.00624 ; 356.1204291323229 ; 30 ; 30 ; 15
constant ; 30 ; 317 ; 57.8 ; 209.4 ; 9.44790034809066 ; 44.54 ; 83.71232 ; 37.31024 ; 347.91190682137386 ; 30 ; 30 ; 30
constant ; 30 ; 309.2 ; 61.2 ; 199.6 ; 10.186289633635878 ; 49.080000000000005 ; 88.53072 ; 43.45024 ; 372.2981952531216 ; 30 ; 30 ; 45
constant ; 30 ; 310.6 ; 68.6 ; 201 ; 10.34412836986122 ; 48.1 ; 87.68848 ; 42.19968 ; 359.2160523339443 ; 30 ; 30 ; 60
constant ; 30 ; 301.8 ; 77.2 ; 192.6 ; 9.136100290352513 ; 51.48 ; 90.30175999999999 ; 46.49424 ; 381.85834202273674 ; 30 ; 45 ; 15
